,PAGE_URL_COMPLETE,name,color,imageUrl,Trending,Site,Category
49,trends.ajio.com/biba-self-floral-print-a-line-kurta-with-chevron-print-palazzos--dupatta/p/441069734_white,Self Floral Print A-line Kurta with Chevron Print Palazzos & Dupatta,white,https://assets.ajio.com/medias/sys_master/root/hcb/h66/16112555622430/biba_white_&_indigo_a-line_self_floral_print_a-line_kurta_with_chevron_print_palazzos_&_dupatta.jpg,False,AJIO-TRENDS,popular
50,trends.ajio.com/w-printed-flared-kurta-with-jacket--pants/p/441016415_green,Printed Flared Kurta with Jacket & Pants,green,https://assets.ajio.com/medias/sys_master/root/20200729/pbaj/5f2190517cdb8c220788594e/w_green_flared_printed_flared_kurta_with_jacket_&_pants.jpg,False,AJIO-TRENDS,popular
51,trends.ajio.com/avaasa-set-printed-anarkali--churidar-set/p/440988213_rust,Printed Anarkali & Churidar Set,rust,https://assets.ajio.com/medias/sys_master/root/h5b/h9e/14346000171038/avaasa_set_rust_orange_anarkali_printed_anarkali_&_churidar_set.jpg,False,AJIO-TRENDS,popular
52,trends.ajio.com/avaasa-set-floral-print-flared-kurta--churidar-set/p/440948074_mustard,Floral Print Flared Kurta & Churidar Set,mustard,https://assets.ajio.com/medias/sys_master/root/hff/h84/12360014823454/avaasa_set_mustard_yellow_&_orange_flared_floral_print_flared_kurta_&_churidar_set.jpg,False,AJIO-TRENDS,popular
53,trends.ajio.com/avaasa-set-straight-kurta-with-palazzos--dupatta/p/441039226_white,Straight Kurta with Palazzos & Dupatta,white,https://assets.ajio.com/medias/sys_master/root/hae/h89/15138671001630/avaasa_set_white_straight_straight_kurta_with_palazzos_&_dupatta.jpg,False,AJIO-TRENDS,popular
54,trends.ajio.com/biba-a-line-kurta-with-printed-palazzos--dupatta/p/441069718_black,A-line Kurta with Printed Palazzos & Dupatta,black,https://assets.ajio.com/medias/sys_master/root/h3a/hd5/16114081529886/biba_black_&_off-white_a-line_a-line_kurta_with_printed_palazzos_&_dupatta.jpg,False,AJIO-TRENDS,popular
55,trends.ajio.com/avaasa-set-printed-flared-kurta-churidar-dupatta-set/p/440948065_navy,Printed Flared Kurta Churidar Dupatta Set,navy,https://assets.ajio.com/medias/sys_master/root/had/hd5/12831024676894/avaasa_set_navy_blue_flared_printed_flared_kurta_churidar_dupatta_set.jpg,False,AJIO-TRENDS,popular
56,trends.ajio.com/avaasa-set-printed-straight-kurta-with-jacket--dupatta-set/p/440990103_beige,Printed Straight Kurta with Jacket & Dupatta Set,beige,https://assets.ajio.com/medias/sys_master/root/h91/h47/13293096828958/avaasa_set_blue_straight_printed_straight_kurta_with_jacket_&_dupatta_set.jpg,False,AJIO-TRENDS,popular
57,trends.ajio.com/biba-a-line-kurta-with-printed-pants--dupatta/p/441069689_mustard,A-line Kurta with Printed Pants & Dupatta,mustard,https://assets.ajio.com/medias/sys_master/root/h37/h78/16112359997470/biba_mustard_yellow_&_off-white_a-line_a-line_kurta_with_printed_pants_&_dupatta.jpg,False,AJIO-TRENDS,popular
58,trends.ajio.com/biba-embroidered-a-line-kurta-with-churidar--dupatta/p/441069686_offwhite,Embroidered A-line Kurta with Churidar & Dupatta,offwhite,https://assets.ajio.com/medias/sys_master/root/he7/h3e/16112017801246/biba_off-white_a-line_embroidered_a-line_kurta_with_churidar_&_dupatta.jpg,False,AJIO-TRENDS,popular
59,trends.ajio.com/avaasa-set-printed-kurti-with-flared-skirt--dupatta-set/p/440990110_blue,Printed Kurti with Flared Skirt & Dupatta Set,blue,https://assets.ajio.com/medias/sys_master/root/h55/h56/13388383715358/avaasa_set_dark_blue_skirt-suit_sets_printed_kurti_with_flared_skirt_&_dupatta_set.jpg,False,AJIO-TRENDS,popular
60,trends.ajio.com/biba-printed-a-line-kurta-with-churidar--dupatta/p/441069764_blue,Printed A-line Kurta with Churidar & Dupatta,blue,https://assets.ajio.com/medias/sys_master/root/hfe/h80/16111628615710/biba_blue_a-line_printed_a-line_kurta_with_churidar_&_dupatta.jpg,False,AJIO-TRENDS,popular
61,trends.ajio.com/biba-embroidered-straight-kurta-with-palazzos--dupatta/p/441069748_green,Embroidered Straight Kurta with Palazzos & Dupatta,green,https://assets.ajio.com/medias/sys_master/root/he9/h83/16113966022686/biba_green_&_white_straight_embroidered_straight_kurta_with_palazzos_&_dupatta.jpg,False,AJIO-TRENDS,popular
62,trends.ajio.com/avaasa-set-floral-embroidered-straight-kurta-with-skirt/p/440988218_turq,Floral Embroidered Straight Kurta with Skirt,turq,https://assets.ajio.com/medias/sys_master/root/hca/h75/14159721693214/avaasa_set_turquoise_blue_&_pink_straight_floral_embroidered_straight_kurta_with_skirt.jpg,False,AJIO-TRENDS,popular
63,trends.ajio.com/avaasa-set-printed-panelled-a-line-kurta-with-churidar/p/440948081_mustard,Printed Panelled A-line Kurta with Churidar,mustard,https://assets.ajio.com/medias/sys_master/root/hac/h36/12547341221918/avaasa_set_mustard_a-line_printed_panelled_a-line_kurta_with_churidar.jpg,False,AJIO-TRENDS,popular
64,trends.ajio.com/biba-printed-flared-kurta-with-churidar--dupatta/p/441069673_yellow,Printed Flared Kurta with Churidar & Dupatta,yellow,https://assets.ajio.com/medias/sys_master/root/hd7/h6f/16115026198558/biba_yellow_flared_printed_flared_kurta_with_churidar_&_dupatta.jpg,False,AJIO-TRENDS,popular
