,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,url_given,PAGE_URL_COMPLETE
21,1930786,136226,152915,https://product.koovs.com/152915_4cda3b3ee9504da1ad45e651f480c397_image1_super_zoom.jpg,https://product.koovs.com/width/height/152915_4cda3b3ee9504da1ad45e651f480c397_image1_super_zoom.jpg,Badge Applique Ripped Slim Jeans,Blue Saint,1999,999,50,"[{'href': '/blue-saint-ripped-jeans-with-open-hem-and-badges-136226-152915.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Slim Jeans'],False,False,False,False,False,/blue-saint-ripped-jeans-with-open-hem-and-badges-136226-152915.html,www.koovs.com/blue-saint-ripped-jeans-with-open-hem-and-badges-136226-152915.html
22,1895315,128855,144355,https://product.koovs.com/144355_96fb64a2e8084bdc8877181b87e1e39e_image1_super_zoom.jpg,https://product.koovs.com/width/height/144355_96fb64a2e8084bdc8877181b87e1e39e_image1_super_zoom.jpg,KOOVS Cargo Pocket Denim Joggers,K Denim,1899,855,55,"[{'href': '/k-denim-denim-cargo-jogger-128855-144355.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,/k-denim-denim-cargo-jogger-128855-144355.html,www.koovs.com/k-denim-denim-cargo-jogger-128855-144355.html
23,1930737,136214,152903,https://product.koovs.com/152903_c583caa525de40ac88e94c280d2d8acb_image1_super_zoom.jpg,https://product.koovs.com/width/height/152903_c583caa525de40ac88e94c280d2d8acb_image1_super_zoom.jpg,Contrast Side Tape Skinny Jeans,Blue Saint,1699,849,50,"[{'href': '/blue-saint-jeans-with-white-side-tape-136214-152903.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,/blue-saint-jeans-with-white-side-tape-136214-152903.html,www.koovs.com/blue-saint-jeans-with-white-side-tape-136214-152903.html
24,1795417,108396,121014,https://product.koovs.com/108396_fcf4705e974949d97f871457a36018f2.jpg,https://product.koovs.com/width/height/108396_fcf4705e974949d97f871457a36018f2.jpg,KOOVS Side Tape Distressed Slim Jeans,K Denim,1499,375,75,"[{'href': '/k-denim-stripe-side-tape-skinny-jeans-108396-121014.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Slim Jeans'],False,False,False,False,False,/k-denim-stripe-side-tape-skinny-jeans-108396-121014.html,www.koovs.com/k-denim-stripe-side-tape-skinny-jeans-108396-121014.html
25,1912229,132262,148359,https://product.koovs.com/132262_ab5377f4a850e332bdfd6835d19064dc.jpg,https://product.koovs.com/width/height/132262_ab5377f4a850e332bdfd6835d19064dc.jpg,KOOVS Text Side Panel Slim Jeans,K Denim,1499,675,55,"[{'href': '/k-denim-hyrbid-jogger-insert-jean-132262-148359.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jeans'],['Slim Jeans'],False,False,False,False,False,/k-denim-hyrbid-jogger-insert-jean-132262-148359.html,www.koovs.com/k-denim-hyrbid-jogger-insert-jean-132262-148359.html
26,1907957,131473,147407,https://product.koovs.com/131473_1bb947ae395f74965dbc120b92b36580.jpg,https://product.koovs.com/width/height/131473_1bb947ae395f74965dbc120b92b36580.jpg,Pintuck Biker Panel Slim Jeans,Kultprit,2099,2099,0,"[{'href': '/kulprit-pintucks-and-zip-jeans-131473-147407.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Jeans'],['Slim Jeans'],False,False,False,False,False,/kulprit-pintucks-and-zip-jeans-131473-147407.html,www.koovs.com/kulprit-pintucks-and-zip-jeans-131473-147407.html
27,1866504,122821,137596,https://product.koovs.com/122821_243507541eea939e41ccc2eb0d695f58.jpg,https://product.koovs.com/width/height/122821_243507541eea939e41ccc2eb0d695f58.jpg,Side Tape Distressed Slim Jeans,Indigo Nation,2499,1250,50,"[{'href': '/indigo-nation-street-ankle-length-printed-trousers-176-122821-137596.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Slim Jeans'],False,False,False,False,False,/indigo-nation-street-ankle-length-printed-trousers-176-122821-137596.html,www.koovs.com/indigo-nation-street-ankle-length-printed-trousers-176-122821-137596.html
28,1905791,131053,146887,https://product.koovs.com/131053_dce2f0a36d0cace072bde7324c1598b9.jpg,https://product.koovs.com/width/height/131053_dce2f0a36d0cace072bde7324c1598b9.jpg,KOOVS Text Side Tape Slim Jeans,K Denim,1699,765,55,"[{'href': '/k-denim-side-tape-jeans-73-131053-146887.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Slim Jeans'],False,False,False,False,False,/k-denim-side-tape-jeans-73-131053-146887.html,www.koovs.com/k-denim-side-tape-jeans-73-131053-146887.html
29,1895238,128834,144332,https://product.koovs.com/128834_38dbe5d7cd45f25469a2b952499c3b06.jpg,https://product.koovs.com/width/height/128834_38dbe5d7cd45f25469a2b952499c3b06.jpg,KOOVS Belted Side Tape Skinny Jeans,K Denim,1499,299,80,"[{'href': '/k-denim-shoelace-belt-jeans-128834-144332.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,/k-denim-shoelace-belt-jeans-128834-144332.html,www.koovs.com/k-denim-shoelace-belt-jeans-128834-144332.html
30,1895317,128856,144356,https://product.koovs.com/128856_05b1530907cb981c0e8931c90f87a827.jpg,https://product.koovs.com/width/height/128856_05b1530907cb981c0e8931c90f87a827.jpg,KOOVS Text Side Tape Straight Jeans,K Denim,1499,675,55,"[{'href': '/k-denim-slogan-tape-jeans-128856-144356.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Straight Jeans'],False,False,False,False,False,/k-denim-slogan-tape-jeans-128856-144356.html,www.koovs.com/k-denim-slogan-tape-jeans-128856-144356.html
