,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,revertPriceText,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,merchantDetails,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,url_given,PAGE_URL_COMPLETE
15,1936568,137284,154212,https://product.koovs.com/154212_c10ca72d7782434ea95d36e200129454_image1_super_zoom.jpg,https://product.koovs.com/width/height/154212_c10ca72d7782434ea95d36e200129454_image1_super_zoom.jpg,Shark Print Short Sleeve Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-shark-print-shirt-137284-154212.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-shark-print-shirt-137284-154212.html,www.koovs.com/koovs-shark-print-shirt-137284-154212.html
16,1937405,137445,154412,https://product.koovs.com/154412_1c7190a11b6c4af3bb9ca6b62305b2bc_image1_super_zoom.jpg,https://product.koovs.com/width/height/154412_1c7190a11b6c4af3bb9ca6b62305b2bc_image1_super_zoom.jpg,Vertical Stripe Cuban Collar Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-vertical-stripe-shirt-137445-154412.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-vertical-stripe-shirt-137445-154412.html,www.koovs.com/koovs-vertical-stripe-shirt-137445-154412.html
17,1937226,137406,154373,https://product.koovs.com/154373_c335249ee3ed4ef89a472ab41ef68b2e_image1_super_zoom.jpg,https://product.koovs.com/width/height/154373_c335249ee3ed4ef89a472ab41ef68b2e_image1_super_zoom.jpg,Comic Print Short Sleeve Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-comic-print-neon-shirt-137406-154373.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-comic-print-neon-shirt-137406-154373.html,www.koovs.com/koovs-comic-print-neon-shirt-137406-154373.html
18,1937238,137409,154376,https://product.koovs.com/154376_1bb39bed41f34e82b2a8048fe25f75a4_image1_super_zoom.jpg,https://product.koovs.com/width/height/154376_1bb39bed41f34e82b2a8048fe25f75a4_image1_super_zoom.jpg,Palm Print Cuban Shirt,KOOVS,1499,1499,0,Price After Sale,"[{'href': '/koovs-all-over-print-shirt-137409-154376.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-all-over-print-shirt-137409-154376.html,www.koovs.com/koovs-all-over-print-shirt-137409-154376.html
19,1936668,137298,154237,https://product.koovs.com/154237_a94d62c012dd4fac891d29ec544d0724_image1_super_zoom.jpg,https://product.koovs.com/width/height/154237_a94d62c012dd4fac891d29ec544d0724_image1_super_zoom.jpg,Yarn-Dyed Vertical Stripe Shirt,Garcon,1299,1299,0,Price After Sale,"[{'href': '/garcon-cotton-jrsy-yarn-dyed-vertical-stripe-tee-137298-154237.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['Shirts'],['Casual Shirts'],True,Koovs Exclusive,False,False,False,False,/garcon-cotton-jrsy-yarn-dyed-vertical-stripe-tee-137298-154237.html,www.koovs.com/garcon-cotton-jrsy-yarn-dyed-vertical-stripe-tee-137298-154237.html
21,1936525,137276,154204,https://product.koovs.com/154204_538ae4b21e284dc9a9fd67914d71efea_image1_super_zoom.jpg,https://product.koovs.com/width/height/154204_538ae4b21e284dc9a9fd67914d71efea_image1_super_zoom.jpg,Glowing Leaf Print Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-all-over-print-shirt-137276-154204.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-all-over-print-shirt-137276-154204.html,www.koovs.com/koovs-all-over-print-shirt-137276-154204.html
22,1919916,133906,150291,https://product.koovs.com/150291_8bcd22ef6c904b1c844b7c25d4d92b3d_image1_super_zoom.jpg,https://product.koovs.com/width/height/150291_8bcd22ef6c904b1c844b7c25d4d92b3d_image1_super_zoom.jpg,Half & Half Print Cuban Shirt,Brave Soul,1899,1899,0,Price After Sale,"[{'href': '/bravesoul-half--half-shirt-133906-150291.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],True,INTERNATIONAL BRAND,False,False,False,False,/bravesoul-half--half-shirt-133906-150291.html,www.koovs.com/bravesoul-half--half-shirt-133906-150291.html
23,1936537,137278,154206,https://product.koovs.com/154206_9af0dd7651e34ca29c3b24e6a7199e58_image1_super_zoom.jpg,https://product.koovs.com/width/height/154206_9af0dd7651e34ca29c3b24e6a7199e58_image1_super_zoom.jpg,Sticker Print Short Sleeve Shirt,KOOVS,1499,1499,0,Price After Sale,"[{'href': '/koovs-sticker-print-shirt-137278-154206.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-sticker-print-shirt-137278-154206.html,www.koovs.com/koovs-sticker-print-shirt-137278-154206.html
24,1936558,137282,154210,https://product.koovs.com/154210_3f72a2bafbd143b7aa1c632d3f524c96_image1_super_zoom.jpg,https://product.koovs.com/width/height/154210_3f72a2bafbd143b7aa1c632d3f524c96_image1_super_zoom.jpg,Night Club Print Cuban Collar Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-all-over-print-shirt-137282-154210.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-all-over-print-shirt-137282-154210.html,www.koovs.com/koovs-all-over-print-shirt-137282-154210.html
25,1935680,137147,154041,https://product.koovs.com/154041_cee9f2cbf21a40bbaaf8569036526ddd_image1_super_zoom.jpg,https://product.koovs.com/width/height/154041_cee9f2cbf21a40bbaaf8569036526ddd_image1_super_zoom.jpg,Short Sleeve Regular Shirt,KOOVS,899,899,0,Price After Sale,"[{'href': '/koovs-classic-fit-short--sleeve-shirt-137147-154041.html', 'rel': 'self', 'method': 'GET'}]",['Yellow'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-classic-fit-short--sleeve-shirt-137147-154041.html,www.koovs.com/koovs-classic-fit-short--sleeve-shirt-137147-154041.html
